Gene	NPat	KnownDriver	Mode	AllDriver	MutSigCV	OncodriveFM	OncodriveCLUST	NMC	MutSig-CL	e-Driver	e-Driver3D	iPAC	GraphPAC	SpacePAC	CLUMPS	iSIMPRe	ActiveDriver	Hotspot	LowMACA	Detected
ZNF706	5	No	N/A	No	0.2721773	0.791442650121897	1	1	0.588	1	1	1	1	1	1	1	1	1	1	0
GNL3L	9	No	N/A	No	1	1	0.137798603258	1	0.178	1	1	1	1	1	1	1	1	1	1	0
IQGAP1	8	No	N/A	No	1	1	1	1	0.546	0.967274043166423	1	1	1	1	1	1	0.134045862786499	1	1	0
NPY1R	16	No	N/A	No	0.5312083	1	1	1	0.842	1	1	1	1	1	0.727521	1	1	1	1	0
KIAA1524	8	No	N/A	No	1	1	1	1	0.114	1	1	1	1	1	1	1	0.195866466901918	1	1	0
SRGAP3	23	No	Unk	Other somatic drivers in other tissues	0.001731563	0.260347116379551	0.34307086861	1	0.728	1	1	1	1	1	1	1	1	1	1	1
NAALADL2	15	No	N/A	No	1	1	1	1	0.544	1	1	1	1	1	0.904178	1	1	1	1	0
RP11-565P22.6	13	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
SUV420H1	16	No	N/A	No	1	0.535832611562046	0.296129069535	1	0.017	1	1	1	1	1	0.985155	1	1	1	1	1
OR51F2	12	No	N/A	No	0.07976277	1	1	1	0.461	1	1	1	1	1	0.951401	1	1	1	1	0
ADCY2	53	No	N/A	No	0.3188562	1	1	1	0.457	1	1	1	1	1	0.953733	1	1	1	1	0
MKKS	5	No	N/A	No	1	0.948014298877861	1	1	0.0785	1	1	1	1	1	1	1	1	1	1	0
C5orf54	6	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
FAM126A	6	No	N/A	No	0.9221426	0.618393363132121	1	1	0.167	1	1	1	1	1	1	1	1	1	1	0
AQP1	16	No	N/A	No	1	1	1	1	0.602	1	1	1	1	1	1	1	1	1	1	0
TUBA3E	10	No	N/A	No	1	1	1	1	0.808	1	1	1	1	1	0.971316	1	0.0305781288208061	1	1	1
PDCD4	5	No	N/A	No	0.9425019	0.510240445356881	1	1	0.428	1	1	1	1	1	1	1	1	1	1	0
NUDT11	5	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
SLC26A4	12	No	N/A	No	0.1559772	1	1	1	0.259	1	1	1	1	1	1	1	1	1	1	0
SMARCD2	11	No	N/A	No	1	0.216392580320498	1	1	0.707	1	1	1	1	1	1	1	0.213145647551536	1	1	0
TRPM8	23	No	N/A	No	0.153148	1	1	1	0.11	1	1	1	1	1	1	1	1	1	1	0
DLGAP4	18	No	N/A	No	0.3125287	1	1	1	0.501	1	1	1	1	1	1	1	1	1	1	0
IRF9	5	No	N/A	No	0.3248615	1	1	1	0.0783	1	1	1	1	1	1	1	1	1	1	0
C3AR1	11	No	N/A	No	0.4160582	1	1	1	0.15	1	1	1	1	1	1	1	0.0805436465528419	1	0.002031438	1
RPL41	6	No	N/A	No	0.09538667	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
MIER3	7	No	N/A	No	0.6725946	0.252563769202907	1	1	0.239	1	1	1	1	1	1	1	1	1	1	0
TAAR2	9	No	N/A	No	0.2890011	1	1	1	0.08	1	1	1	1	1	0.997626	1	1	1	1	0
CLASP2	7	No	N/A	No	1	1	1	1	0.491	1	1	1	1	1	1	1	1	1	1	0
GPR115	28	No	N/A	No	0.6561233	1	1	1	0.108	1	1	1	1	1	1	1	1	1	1	0
SLC43A3	6	No	N/A	No	1	1	1	1	0.491	1	1	1	1	1	1	1	1	1	1	0
EPM2AIP1	7	No	N/A	No	1	1	1	1	0.0708	1	1	1	1	1	1	1	1	1	1	0
SYT6	12	No	N/A	No	0.08641673	1	1	1	0.791	1	1	1	1	1	0.794318	1	1	1	1	0
FYCO1	14	No	N/A	No	1	1	1	1	0.245	1	1	1	1	1	1	1	1	1	1	0
GRAP	6	No	N/A	No	0.9234362	0.421868413490613	1	1	1	1	1	1	1	1	1	1	1	1	1	0
ITGA4	42	No	N/A	No	1.773731e-07	0.496884749754431	0.389597728927	1	0.121	1	1	1	1	1	0.903224	1	0.203571890727358	1	1	1
ENDOD1	6	No	N/A	No	1	1	1	1	0.974	1	1	1	1	1	1	1	0.103062532335135	1	1	0
CDC42BPA	19	No	N/A	No	0.4803687	0.0163064295738935	1	1	0.194	1	1	1	1	1	0.894591	1	1	1	1.414891e-07	2
PHF14	18	No	N/A	No	0.01323079	0.0381685096501456	0.296129069535	1	0.0771	1	1	1	1	1	1	1	0.0177371791111002	1	1	3
TMCO3	9	No	N/A	No	0.1617696	1	1	1	0.804	1	1	1	1	1	0.989868	1	0.20142414806763	1	1	0
ACSM2A	29	No	N/A	No	0.5638777	1	1	1	0.376	1	1	1	1	1	0.727521	1	1	1	1	0
LPAR3	6	No	N/A	No	1	1	1	1	0.0525	1	1	1	1	1	0.831255	1	1	1	1	0
PPP1R9A	12	No	N/A	No	1	0.010145107783361	1	1	0.309	0.719525801740345	1	1	1	1	1	1	0.21203634170974	1	1	1
SLC22A6	16	No	N/A	No	0.1888663	1	1	1	0.746	1	1	1	1	1	0.997626	1	1	1	1	0
PRKCH	6	No	N/A	No	1	1	1	1	0.195	1	1	1	1	1	1	1	1	1	1	0
HUNK	9	No	N/A	No	0.7300731	0.998116453205391	1	1	0.161	1	1	1	1	1	1	1	0.204900951252744	1	1	0
FMR1	15	No	N/A	No	0.7865674	0.261294924794993	0.281939728329	1	0.213	1	1	1	1	1	1	1	1	1	1	0
SPAG4	6	No	N/A	No	0.5239803	1	1	1	0.633	1	1	1	1	1	1	1	1	1	1	0
OLFM3	20	No	N/A	No	0.01023961	1	1	1	0.236	1	1	1	1	1	0.948835	1	1	1	1	1
OR4K17	24	No	N/A	No	0.005689788	1	1	1	0.968	1	1	1	1	1	0.973667	1	1	1	1	1
NGFR	6	No	N/A	No	1	1	1	1	0.969	1	1	1	1	1	1	1	1	1	1	0
EPS15L1	8	No	N/A	No	0.03979769	0.928293351114176	0.0634165244918	1	0.846	1	1	1	1	1	1	1	0.0720583539807428	1	1	1
CDK5RAP2	13	No	N/A	No	1	1	1	1	0.841	1	1	1	1	1	1	1	1	1	1	0
MAP3K10	7	No	N/A	No	1	1	1	1	0.385	1	1	1	1	1	1	1	1	1	1	0
SASS6	7	No	N/A	No	1	1	1	1	0.158	1	1	1	1	1	1	1	0.184214662960637	1	1	0
ECEL1	11	No	N/A	No	0.5396575	1	1	1	0.259	1	1	1	1	1	0.967987	1	1	1	1	0
MYH9	21	No	Unk	Other somatic drivers in other tissues	0.1284802	0.0372216863527475	1	1	0.728	1	1	1	1	1	0.812843	1	0.00111656385266597	1	1	2
BMP5	6	No	N/A	No	1	1	1	1	0.439	1	1	1	1	1	1	1	1	1	1	0
SGPL1	6	No	N/A	No	0.8615646	0.681978785114271	1	1	0.311	1	1	1	1	1	0.802339	1	0.189346503099617	1	1	0
ANKIB1	10	No	N/A	No	0.5629374	1	1	1	0.00153	0.977836716081565	1	1	1	1	0.745507	1	0.213707827698993	1	1	1
C2orf57	6	No	N/A	No	0.4162892	1	1	1	0.623	1	1	1	1	1	1	1	1	1	1	0
PPP3R2	6	No	N/A	No	1	1	1	1	1	1	1	1	1	1	0.93069	1	1	1	1	0
GBP5	16	No	N/A	No	0.3688697	1	0.296129069535	1	0.319	1	1	1	1	1	0.965261	1	1	1	1	0
IDS	7	No	N/A	No	0.4577318	1	1	1	0.817	1	1	1	1	1	1	1	1	1	1	0
LRP4	28	No	N/A	No	0.5394931	1	0.264254949146	1	0.46	1	1	1	1	1	0.904178	1	1	1	1	0
ASAH1	5	No	N/A	No	1	1	1	1	0.445	1	1	1	1	1	1	1	1	1	1	0
H2BFWT	7	No	N/A	No	1	1	1	1	0.587	1	1	1	1	1	1	1	1	1	1	0
STAT1	8	No	N/A	No	0.8683167	1	1	1	0.306	1	1	1	1	1	1	1	1	1	1	0
IPMK	9	No	N/A	No	1	1	1	1	0.147	1	1	1	1	1	1	1	1	1	1	0
KCNN4	6	No	N/A	No	0.8995979	1	1	1	0.15	1	1	1	1	1	1	1	1	1	1	0
POLN	5	No	N/A	No	1	1	1	1	0.0984	1	1	1	1	1	1	1	1	1	1	0
GNG2	6	No	N/A	No	3.339349e-05	0.18308712521571	1	1	0.912	1	1	1	1	1	1	1	1	1	1	1
CNTLN	19	No	N/A	No	1	0.0178015738909643	0.333708167306	1	0.113	1	1	1	1	1	1	1	0.109492264821322	1	1	1
NSMAF	11	No	N/A	No	1	1	1	1	0.0385	0.730397871991301	1	1	1	1	0.740921	1	1	1	1	1
AC104532.2	5	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
RALGDS	7	No	Unk	Other somatic drivers in other tissues	1	0.676182684065624	1	1	0.315	1	1	1	1	1	1	1	1	1	1	0
PHB2	17	No	N/A	No	1	0.911943736320603	1	1	0.215	1	1	1	1	1	1	1	1	1	1	0
CRYAB	8	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
CHTOP	6	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
MON1B	6	No	N/A	No	1	0.914321937999637	1	1	0.195	1	1	1	1	1	1	1	1	1	1	0
KIDINS220	16	No	N/A	No	1	1	0.22129056329	0.0001872601	0.293	0.467938466877893	1	1	1	1	1	1	1	1	1	1
IFT52	7	No	N/A	No	0.2257052	0.121696653062503	1	1	0.133	1	1	1	1	1	1	1	1	1	1	0
GABRQ	23	No	N/A	No	0.02710512	1	1	1	0.944	1	1	1	1	1	0.827809	1	1	1	1	1
PSMD14	6	No	N/A	No	1	1	1	1	0.923	1	1	1	1	1	1	1	0.137542558179065	1	1	0
BAAT	9	No	N/A	No	0.9929145	1	1	1	0.573	1	1	1	1	1	0.92787	1	1	1	1	0
FAM65B	11	No	N/A	No	0.5011631	1	1	1	0.795	1	1	1	1	1	1	1	1	1	1	0
UTP14C	10	No	N/A	No	1	0.668989239340704	1	1	0.0603	1	1	1	1	1	1	1	1	1	1	0
PON1	9	No	N/A	No	1	1	1	1	0.388	1	1	1	1	1	1	1	1	1	1	0
CSNK2A1	8	No	N/A	No	0.05757906	1	0.0107520760273	1	0.894	1	0.126603324801514	1	1	1	0.953733	1	0.00954899290685054	2.07679843213006e-07	1	3
PRLR	18	No	N/A	No	0.5657038	1	1	1	0.65	1	1	1	1	1	0.965261	1	1	1	1	0
RIPK1	10	No	N/A	No	0.1258696	1	0.170584080939	1	0.948	1	1	1	1	1	1	1	1	1	1	0
SH2B2	7	No	N/A	No	0.3365145	1	1	1	0.116	1	1	1	1	1	1	1	1	1	1	0
KLK8	17	No	N/A	No	0.1692476	1	1	1	0.031	1	1	1	1	1	0.68721	1	1	1	1	1
PJA2	9	No	N/A	No	0.4232492	1	1	1	0.431	1	1	1	1	1	1	1	0.160345268519266	1	1	0
TADA2A	5	No	N/A	No	0.6242926	1	1	1	0.544	1	1	1	1	1	1	1	1	1	1	0
BTNL8	13	No	N/A	No	0.7805479	1	1	1	0.0456	1	1	1	1	1	0.921578	1	1	1	1	1
EIF2AK2	5	No	N/A	No	1	1	1	1	0.953	1	1	1	1	1	1	1	1	1	1	0
PRDM10	16	No	N/A	No	0.1048696	0.855123523689951	1	1	0.474	1	1	1	1	1	1	1	1	1	1	0
SSFA2	18	No	N/A	No	0.1760443	1	1	1	0.096	1	1	1	1	1	1	1	1	1	1	0
BTN1A1	10	No	N/A	No	0.3873221	1	1	1	0.385	1	1	1	1	1	1	1	1	1	1	0
CLDN4	6	No	N/A	No	0.6280015	0.428201620030913	1	1	0.0476	1	1	1	1	1	1	1	1	1	1	1
ANLN	14	No	N/A	No	1	1	1	1	0.371	1	1	1	1	1	1	1	1	1	1	0
AK8	6	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
IVNS1ABP	5	No	N/A	No	1	1	1	1	0.708	1	1	1	1	1	1	1	0.130371374520471	1	1	0
OR5M1	11	No	N/A	No	0.6110368	1	1	1	0.791	1	1	1	1	1	0.827809	1	1	1	1	0
KRT75	11	No	N/A	No	0.8539279	1	1	1	0.867	1	1	1	1	1	1	1	0.167041006540616	1	1	0
SSRP1	5	No	N/A	No	1	1	1	1	0.506	1	1	1	1	1	1	1	0.0107228056915807	1	1	1
SLC12A8	15	No	N/A	No	1	0.179127153323607	1	1	0.226	1	1	1	1	1	1	1	1	1	1	0
FBRS	7	No	N/A	No	0.718438	1	1	1	0.663	1	1	1	1	1	1	1	1	1	1	0
PCDH7	28	No	N/A	No	1	1	0.238746800266	8.246448e-05	0.492	0.181176296310937	1	1	1	1	0.990891	1	0.0178502317226528	1	1	2
MTERFD1	10	No	N/A	No	1	0.565712409618472	1	1	1	1	1	1	1	1	1	1	1	1	1	0
EDAR	11	No	N/A	No	0.839107	1	1	1	0.132	1	1	1	1	1	1	1	1	1	1	0
KLB	19	No	N/A	No	0.03184729	1	1	1	0.481	1	1	1	1	1	0.789492	1	0.155872626185575	1	1	1
ROBO3	24	No	N/A	No	1	1	1	1	0.72	1	1	1	1	1	0.827635	1	1	1	1	0
ALS2	14	No	N/A	No	1	1	1	1	0.276	1	1	1	1	1	1	1	1	1	1	0
SLC6A4	8	No	N/A	No	0.3793076	1	1	1	0.0456	1	1	1	1	1	0.954508	1	1	1	1	1
SGK196	6	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
TRMT5	5	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
SMARCB1	5	No	Unk	Other somatic drivers in other tissues	1	0.201107853198498	1	1	0.106	1	1	1	1	1	1	1	1	1	1	0
RP11-77K12.7	12	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
ARMC3	28	No	N/A	No	0.001085028	1	1	1	0.553	1	1	1	1	1	0.962259	1	1	1	1	1
FUT10	7	No	N/A	No	1	1	0.0634165244918	1	0.771	1	1	1	1	1	1	1	1	1	1	0
AC129492.6	6	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NGEF	12	No	N/A	No	0.4472098	1	1	1	0.834	1	1	1	1	1	1	1	1	1	1	0
NHSL2	19	No	N/A	No	1	1	1	1	0.886	1	1	1	1	1	1	1	1	1	1	0
AC073342.1	9	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
PODXL	11	No	N/A	No	1	1	1	1	0.524	1	1	1	1	1	1	0.000125	1	1	1	1
OR2T27	20	No	N/A	No	3.3022e-06	1	1	1	0.312	1	1	1	1	1	0.924518	1	1	1	1	1
CYP11B2	22	No	N/A	No	0.896602	1	1	1	0.417	1	1	1	1	1	0.826273	1	1	1	1	0
CASP9	7	No	N/A	No	0.4371034	1	1	1	0.883	1	1	1	1	1	1	1	1	1	1	0
CPAMD8	23	No	N/A	No	1	1	1	1	0.484	1	1	1	1	1	0.904178	1	1	1	1	0
WDR42A	16	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
BICD2	6	No	N/A	No	1	0.44715301746946	0.0107520760273	1	0.394	1	1	1	1	1	1	1	1	1	1	1
RP11-691N7.6	6	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
TRERF1	20	No	N/A	No	0.2971384	0.0348842836599144	0.276989862247	1	0.00659	1	1	1	1	1	1	1	0.0475655778868838	1	1	3
KIAA1045	9	No	N/A	No	0.3356595	1	1	1	0.864	1	1	1	1	1	1	1	1	1	1	0
SCFD2	11	No	N/A	No	0.2218761	1	1	1	0.975	1	1	1	1	1	1	1	1	1	1	0
OR8D4	16	No	N/A	No	0.0725855	1	1	1	0.899	1	1	1	1	1	0.984243	1	1	1	1	0
LDHAL6A	6	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
INSRR	37	No	N/A	No	1	1	1	1	0.27	1	0.590101721448209	1	1	1	0.84456	1	1	1	1	0
NFRKB	16	No	N/A	No	0.3483974	1	1	1	0.483	1	1	1	1	1	1	1	1	1	1	0
DYNC1I1	20	No	N/A	No	1	1	1	1	0.763	1	1	1	1	1	0.897019	1	0.185419972024922	1	1	0
MARCH4	10	No	N/A	No	0.06415376	1	1	1	0.285	1	1	1	1	1	1	1	1	1	1	0
JAK2	15	No	OG	Missense somatic drivers in other tissues	1	0.674554504108828	0.296129069535	1	0.802	1	1	1	1	1	0.841329	1	0.0774579062073569	1	1	0
PTPRF	16	No	N/A	No	1	1	1	1	0.407	1	1	1	1	1	1	1	0.0173607530467635	1	1	1
SCAMP4	6	No	N/A	No	1	1	1	1	0.932	1	1	1	1	1	1	1	1	1	1	0
WDR33	9	No	N/A	No	1	1	1	1	0.059	1	1	1	1	1	1	1	1	1	1	0
SGK1	6	No	N/A	No	1	0.959495425140083	1	1	0.729	1	1	1	1	1	1	1	0.0524624267141084	1	1	0
ARMC4	14	No	N/A	No	0.3811482	1	1	1	0.624	1	1	1	1	1	0.939141	1	1	1	1	0
UGT2B28	21	No	N/A	No	0.2500872	1	1	5.208636e-05	0.0775	1	1	1	1	1	0.434966	0.007395	1	1	1	2
SPP1	5	No	N/A	No	0.804096	1	1	1	0.734	1	1	1	1	1	1	1	1	1	1	0
MMP21	6	No	N/A	No	1	1	1	1	0.427	1	1	1	1	1	0.984079	1	1	1	1	0
HR	10	No	N/A	No	0.6081697	1	1	1	0.985	1	1	1	1	1	1	1	1	1	1	0
SFXN5	5	No	N/A	No	1	1	1	1	0.478	1	1	1	1	1	1	1	1	1	1	0
AC005606.1	7	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
CTAGE5	13	No	N/A	No	0.4568589	0.530431315288305	1	1	0.494	1	1	1	1	1	1	1	0.174768421383759	1	1	0
TAS2R39	5	No	N/A	No	0.9150684	1	1	1	0.0325	1	1	1	1	1	1	1	1	1	1	1
MED13	19	No	N/A	No	0.8418016	1	1	1	0.875	1	1	1	1	1	1	1	0.0135000873117774	1	1	1
GPR37	17	No	N/A	No	1	1	1	1	0.681	1	1	1	1	1	0.92874	1	1	1	1	0
OR51G1	14	No	N/A	No	0.07848669	1	1	1	0.522	1	1	1	1	1	0.727521	1	1	1	1	0
FOXP4	5	No	N/A	No	1	1	1	1	0.817	1	1	1	1	1	1	1	1	1	1	0
ZNF165	6	No	N/A	No	0.9743353	1	1	1	0.374	1	1	1	1	1	1	1	1	1	1	0
PSD3	9	No	N/A	No	1	1	1	1	0.468	1	1	1	1	1	1	1	1	1	1	0
R3HDM2	7	No	N/A	No	1	1	0.0301408657406	0.000224301	0.991	1	1	1	1	1	1	1	1	1	1	2
AC026703.1	6	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NEURL2	5	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
UBQLN2	11	No	N/A	No	0.6317442	1	1	1	0.664	1	1	1	1	1	1	1	1	1	1	0
RRAGC	6	No	N/A	No	0.9210897	1	1	1	0.721	1	1	1	1	1	1	1	1	1	1	0
TRPM4	18	No	N/A	No	1	1	1	1	0.194	1	1	1	1	1	1	1	1	1	1	0
ANKMY2	5	No	N/A	No	1	1	0.0107520760273	1	0.189	1	1	1	1	1	1	1	1	1	1	1
ADCK3	7	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	0.0906061657768273	1	1	0
BSCL2	7	No	N/A	No	1	1	1	1	0.744	1	1	1	1	1	1	1	1	1	1	0
CCR6	9	No	N/A	No	0.1528756	1	1	1	0.573	1	1	1	1	1	0.851184	1	1	1	1	0
PAN2	7	No	N/A	No	1	1	1	1	0.343	1	1	1	1	1	1	1	1	1	1	0
DENND4A	8	No	N/A	No	1	1	1	1	0.315	1	1	1	1	1	1	1	0.180062960872793	1	1	0
LARP1	20	No	N/A	No	0.008496302	0.00107682301520454	1	1	0.242	1	1	1	1	1	1	1	0.154459727670044	1	1	2
KIAA1549L	40	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
OTX2	7	No	N/A	No	0.3048256	1	1	1	0.606	1	1	1	1	1	1	1	1	1	1	0
ITGA2	24	No	N/A	No	0.01602334	0.00345269247768282	0.353290980459	1	0.102	1	1	1	1	1	0.92874	1	1	1	1	2
RP5-1021I20.4	5	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
ICK	6	No	N/A	No	0.3421498	1	1	1	0.243	1	1	1	1	1	1	1	0.189795677662746	1	1	0
OR2A12	15	No	N/A	No	0.03677725	1	1	1	0.991	1	1	1	1	1	0.92874	1	1	1	1	1
SLC11A1	10	No	N/A	No	0.2077983	0.00674096529900865	0.0634165244918	1	0.32	1	1	1	1	1	1	1	1	1	1	1
TMEM8A	9	No	N/A	No	1	1	1	1	0.2	1	1	1	1	1	1	1	1	1	1	0
TGFBR2	6	No	TSG	Missense somatic drivers in other tissues	1	1	0.0634165244918	1	0.216	1	1	1	1	1	1	1	0.189813937178271	1	1	0
LILRA2	27	No	N/A	No	1	1	1	1	0.823	1	1	1	1	1	0.813571	1	1	1	1	0
RBMX	9	No	N/A	No	0.3203801	0.160323343637773	1	1	0.856	1	1	1	1	1	1	1	0.00107797370973039	1	1	1
ATN1	14	No	N/A	No	0.1125778	0.445428967449216	1	1	0.0948	1	1	1	1	1	1	1	1	1	1	0
CCDC6	5	No	TSG	Other somatic drivers in other tissues	1	1	1	1	0.486	1	1	1	1	1	1	1	1	1	1	0
F13B	28	No	N/A	No	0.05193595	1	1	1	0.0518	1	1	1	1	1	0.984243	1	1	1	1	0
HAS2	20	No	N/A	No	0.08505615	1	1	1	0.407	1	1	1	1	1	1	1	1	1	1	0
SRRM5	11	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
HK3	28	No	N/A	No	0.005838238	1	1	1	0.153	1	1	1	1	1	0.952325	1	1	1	1	1
OR2T4	36	No	N/A	No	0.2174666	1	1	1	0.41	1	1	1	1	1	0.964478	1	1	1	1	0
PCDHA12	84	No	N/A	No	1	1	1	1	0.4	1	1	1	1	1	0.939141	1	1	1	1	0
RARS2	7	No	N/A	No	1	1	0.0301408657406	1	0.81	1	1	1	1	1	0.96459	1	1	1	0.02899834	2
ZMAT1	9	No	N/A	No	0.1174499	0.410171925368285	1	1	0.532	1	1	1	1	1	1	1	1	1	1	0
C12orf50	7	No	N/A	No	0.5011631	1	1	1	0.633	1	1	1	1	1	1	1	1	1	1	0
AFP	11	No	N/A	No	0.2174355	1	1	1	0.961	1	1	1	1	1	1	1	1	1	1	0
ERBB4	50	No	OG/TSG	Missense somatic drivers in other tissues	0.4008214	1	1	1	0.494	1	1	1	1	1	0.467973	1	0.0182844221884214	1	1	1
FBXO7	5	No	N/A	No	1	0.622351559954963	1	1	0.582	1	1	1	1	1	1	1	1	1	1	0
LIFR	14	No	Unk	Other somatic drivers in other tissues	1	1	1	1	0.366	1	1	1	1	1	0.822658	1	1	1	1	0
PLCXD2	7	No	N/A	No	1	1	1	1	0.382	1	1	1	1	1	1	1	1	1	1	0
GPR61	8	No	N/A	No	0.9875004	1	1	1	0.589	1	1	1	1	1	1	1	1	1	1	0
KLHL28	21	No	N/A	No	1	0.134510320052132	1	1	0.0547	1	1	1	1	1	1	1	1	1	1	0
CDYL	15	No	N/A	No	0.01605392	0.140377628351409	0.281939728329	1	0.527	1	1	1	1	1	1	1	1	1	1	1
