Gene	Tissue	NPat	KnownDriver	Mode	AllDriver	MutSigCV	OncodriveFM	OncodriveCLUST	NMC	MutSig-CL	e-Driver	e-Driver3D	iPAC	GraphPAC	SpacePAC	CLUMPS	iSIMPRe	ActiveDriver	Hotspot	LowMACA	Detected
ASCC2	blca	5	No	N/A	No	1	0.00962296944585886	1	1	0.0136	1	1	1	1	1	1	1	1	1	1	2
FGF7	blca	5	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
SETX	blca	5	No	N/A	No	1	1	1	1	0.628	1	1	1	1	1	1	1	1	1	1	0
ATP2B2	blca	5	No	N/A	No	1	1	1	1	0.193	1	1	1	1	1	1	1	0.218870551624725	1	1	0
SNAPC2	blca	5	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
CNNM2	blca	5	No	N/A	No	1	1	1	1	0.0848	1	1	1	1	1	1	1	1	1	1	0
FRMD4A	blca	5	No	N/A	No	0.9411744	1	1	1	0.372	1	1	1	1	1	1	1	1	1	1	0
CNGB1	blca	7	No	N/A	No	0.6960392	1	1	1	0.0644	1	1	1	1	1	1	1	1	1	1	0
A2ML1	blca	6	No	N/A	No	1	1	1	1	0.547	1	1	1	1	1	0.4515	1	1	1	1	0
TXNDC5	blca	5	No	N/A	No	1	1	1	1	0.627	1	1	1	1	1	1	1	1	1	1	0
ZNF646	blca	6	No	N/A	No	1	0.755477026327938	1	1	0.446	1	1	1	1	1	1	1	1	1	1	0
C12orf63	blca	6	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
PTRF	blca	5	No	N/A	No	1	0.218483948191917	1	1	0.154	1	1	1	1	1	1	1	1	1	1	0
CBL	blca	6	No	OG/TSG	Missense somatic drivers in other tissues	1	1	1	1	0.979	1	1	1	1	1	1	1	1	1	1	0
BAZ2A	blca	5	No	N/A	No	1	0.694565969254404	1	1	0.148	1	1	1	1	1	1	1	1	1	1	0
WBP7	blca	19	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
LPHN2	blca	8	No	N/A	No	0.8002829	0.0830666657038701	1	1	0.353	1	1	1	1	1	1	1	1	1	1	0
CRTC1	blca	7	No	OG	Other somatic drivers in other tissues	1	1	1	1	0.856	1	1	1	1	1	1	1	1	1	1	0
RUSC2	blca	10	No	N/A	No	0.9713239	0.669627089036146	1	1	0.857	0.933097483953711	1	1	1	1	1	1	1	1	1	0
NHLRC1	blca	6	No	N/A	No	0.07262221	1	1	1	0.071	1	1	1	1	1	1	1	1	1	1	0
PIGG	blca	6	No	N/A	No	1	0.101969914121652	1	1	0.0641	1	1	1	1	1	1	1	1	1	1	0
TNNI3K	blca	10	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
TAB2	blca	5	No	N/A	No	1	1	1	1	0.824	1	1	1	1	1	1	1	1	1	1	0
WDR17	blca	5	No	N/A	No	1	1	1	1	0.981	1	1	1	1	1	1	1	1	1	1	0
TPO	blca	9	No	N/A	No	0.7745863	1	1	1	0.525	1	1	1	1	1	1	1	1	1	1	0
POLK	blca	7	No	N/A	No	1	1	1	1	0.882	1	1	1	1	1	1	1	0.127693026755551	1	1	0
CTNNA3	blca	7	No	N/A	No	1	1	1	1	0.689	1	1	1	1	1	1	1	1	1	1	0
KIAA0430	blca	5	No	N/A	No	1	0.615166203569749	1	1	0.0475	1	1	1	1	1	1	1	0.0419046150285092	1	1	2
BAD	blca	8	No	N/A	No	0.9090742	1	1	1	0.386	1	1	1	1	1	1	1	1	1	1	0
CBLB	blca	6	No	TSG	Missense somatic drivers in other tissues	1	1	1	1	0.58	1	1	1	1	1	1	1	1	1	1	0
BDP1	blca	10	No	N/A	No	0.8536058	0.519838901461578	1	1	0.614	1	1	1	1	1	1	1	1	1	1	0
COL22A1	blca	6	No	N/A	No	0.5339875	1	1	1	0.736	1	1	1	1	1	1	1	1	1	1	0
ABCC3	blca	9	No	N/A	No	1	1	1	1	0.493	1	1	1	1	1	0.860203	1	0.200033281295497	1	1	0
GRAMD1C	blca	5	No	N/A	No	1	0.930853093883591	1	1	0.79	1	1	1	1	1	1	1	1	1	1	0
SSH3	blca	6	No	N/A	No	0.02847614	0.156300474636123	1	1	0.428	1	1	1	1	1	1	1	0.126934732410561	1	1	1
MGEA5	blca	5	No	N/A	No	1	1	1	1	0.651	1	1	1	1	1	1	1	1	1	1	0
THSD7B	blca	5	No	N/A	No	1	1	1	1	0.714	1	1	1	1	1	1	1	1	1	1	0
ARHGAP31	blca	5	No	N/A	No	1	1	1	1	0.614	1	1	1	1	1	1	1	1	1	1	0
UBAP2L	blca	5	No	N/A	No	1	1	1	1	0.93	1	1	1	1	1	1	1	0.0945009129451808	1	1	0
GPAA1	blca	5	No	N/A	No	1	1	1	1	0.687	1	1	1	1	1	1	1	1	1	1	0
RHBDL1	blca	6	No	N/A	No	1	1	1	1	0.381	1	1	1	1	1	1	1	1	1	1	0
MACROD2	blca	5	No	N/A	No	1	1	1	1	0.0174	1	1	1	1	1	1	1	1	1	1	1
MED13	blca	9	No	N/A	No	0.007075897	1	1	1	0.768	1	1	1	1	1	1	1	0.208420432895021	1	1	1
PKD2L1	blca	5	No	N/A	No	1	1	1	1	0.142	1	1	1	1	1	1	1	1	1	1	0
LRRC29	blca	5	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
ATP6V0A1	blca	6	No	N/A	No	1	0.407176907448234	1	1	0.723	1	1	1	1	1	1	1	1	1	1	0
KCNH4	blca	6	No	N/A	No	1	1	1	1	0.173	1	1	1	1	1	1	1	1	1	1	0
KIAA1244	blca	5	No	N/A	No	1	1	1	1	0.897	1	1	1	1	1	1	1	1	1	1	0
DLC1	blca	7	No	N/A	No	1	1	0.633735573631	8.042145e-05	0.387	1	1	1	1	1	1	1	1	1	1	1
PCDHGB1	blca	54	No	N/A	No	1	1	1	1	0.537	1	1	1	1	1	1	1	1	1	1	0
PRDM5	blca	5	No	N/A	No	1	1	1	1	0.376	1	1	1	1	1	1	1	1	1	1	0
OR2L13	blca	9	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
TTI1	blca	6	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
FAT2	blca	11	No	N/A	No	1	1	1	1	0.57	1	1	1	1	1	1	1	1	1	1	0
KDM6A	blca	33	Yes	Unk	Other somatic drivers in matching tissue	0	0	0.172393474025	1	0.0465	1	1	1	1	1	1	1	1	3.87056568748797e-14	1	4
CNTLN	blca	6	No	N/A	No	1	1	1	1	0.167	1	1	1	1	1	1	1	0.114694750084233	1	1	0
MGAT1	blca	6	No	N/A	No	1	0.0202751410795207	1	1	0.418	1	1	1	1	1	1	1	1	1	1	1
MYH15	blca	6	No	N/A	No	0.8414168	1	1	1	0.787	1	1	1	1	1	1	1	1	1	1	0
INO80	blca	11	No	N/A	No	0.5215201	0.636605318160994	1	1	0.75	1	1	1	1	1	1	1	1	1	1	0
RAD54L	blca	8	No	N/A	No	1	1	1	1	0.265	1	1	1	1	1	1	1	1	1	1	0
ZWILCH	blca	7	No	N/A	No	0.4916429	0.0686607312229146	1	1	0.152	1	1	1	1	1	1	1	1	1	1	0
ZNF594	blca	6	No	N/A	No	1	1	1	1	0.177	1	1	1	1	1	1	1	0.175951447728001	1	1	0
ZNF479	blca	5	No	N/A	No	1	1	1	1	0.254	1	1	1	1	1	1	1	1	1	1	0
LPA	blca	7	No	N/A	No	1	1	1	1	0.404	1	1	1	1	1	1	1	1	1	1	0
CPSF1	blca	5	No	N/A	No	1	1	1	1	0.0746	1	1	1	1	1	1	1	1	1	1	0
KANSL1	blca	6	No	N/A	No	1	0.0870673320501231	1	1	1	1	1	1	1	1	1	1	1	1	1	0
SDPR	blca	6	No	N/A	No	1	0.146064602031023	1	1	0.378	1	1	1	1	1	1	1	1	1	1	0
TBC1D1	blca	7	No	N/A	No	1	0.987512197320098	0.665839508112	1	0.577	1	1	1	1	1	1	1	0.10302568660689	1	1	0
ITGB4	blca	6	No	N/A	No	1	1	1	1	0.825	1	1	1	1	1	1	1	0.111146452800303	1	1	0
A2M	blca	7	No	N/A	No	0.6211165	1	1	1	0.236	1	1	1	1	1	0.8344	1	1	1	1	0
TRPS1	blca	8	No	N/A	No	0.415657	0.869958206398532	1	1	0.461	1	1	1	1	1	1	1	0.141676127809682	1	1	0
PCDHB8	blca	12	No	N/A	No	1	1	1	1	0.927	1	1	1	1	1	1	1	1	1	1	0
ZNF236	blca	6	No	N/A	No	0.9391837	1	1	1	0.399	0.950946236884412	1	1	1	1	1	1	1	1	1	0
HIST1H1E	blca	5	No	N/A	No	0.2178292	1	1	1	0.0744	1	1	1	1	1	1	1	0.0970943161917565	1	1	0
DNAH2	blca	11	No	N/A	No	1	1	1	1	0.719	1	1	1	1	1	0.8344	1	0.134584245432548	1	1	0
SBDS	blca	6	No	Unk	Other germline drivers in other tissues	1	1	1	1	0.658	1	1	1	1	1	1	1	1	1	1	0
PCDH15	blca	10	No	N/A	No	1	1	1	1	0.696	1	1	1	1	1	1	1	1	1	1	0
SLCO1B1	blca	5	No	N/A	No	1	1	1	1	0.306	1	1	1	1	1	1	1	0.0155562680483592	1	1	1
ADAM29	blca	6	No	N/A	No	0.3775717	1	1	1	0.386	1	1	1	1	1	1	1	1	1	1	0
ASXL2	blca	13	No	N/A	No	1.087366e-07	0.000625817685398871	1	1	7.72e-05	1	1	1	1	1	1	1	1	1	1	3
ATP6V1B1	blca	6	No	N/A	No	0.6927381	1	1	1	0.0157	1	1	1	1	1	0.796976	1	1	1	1	1
FAM135B	blca	9	No	N/A	No	1	1	1	1	0.078	1	1	1	1	1	1	1	0.0580346632755866	1	1	0
CDH1	blca	6	No	TSG	Missense somatic drivers in other tissues	0.04722859	1	1	1	0.949	1	1	1	1	1	1	1	0.138799868662465	1	1	1
MLLT6	blca	6	No	Unk	Other somatic drivers in other tissues	1	0.487532412755178	1	1	0.16	1	1	1	1	1	1	1	1	1	1	0
SDF4	blca	5	No	N/A	No	1	0.905419109989629	1	1	0.611	1	1	1	1	1	1	1	1	1	1	0
KEAP1	blca	5	No	TSG	Missense somatic drivers in other tissues	1	0.10733937573225	1	1	0.666	1	1	1	1	1	1	1	1	1	1	0
MERTK	blca	5	No	N/A	No	1	1	1	1	0.377	1	1	1	1	1	1	1	0.146685043442811	1	1	0
UBOX5	blca	6	No	N/A	No	1	0.444831382131433	1	1	0.0748	1	1	1	1	1	1	1	1	1	1	0
SPECC1L	blca	9	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
LPCAT4	blca	6	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
RP11-192H23.4	blca	6	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
LPIN3	blca	6	No	N/A	No	1	1	1	1	0.728	1	1	1	1	1	1	1	1	1	1	0
DOPEY2	blca	8	No	N/A	No	0.8259385	1	0.700312119915	1	0.388	1	1	1	1	1	1	1	0.00182091699578261	1	1	1
F5	blca	9	No	N/A	No	0.7386624	1	1	1	0.937	1	1	1	1	1	1	1	1	1	1	0
BOD1L1	blca	7	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
SORCS3	blca	9	No	N/A	No	1	1	1	1	0.184	1	1	1	1	1	1	1	1	1	1	0
CDK16	blca	6	No	N/A	No	1	0.158379713407681	1	1	0.878	1	1	1	1	1	1	1	1	1	1	0
EGFLAM	blca	5	No	N/A	No	1	0.942009749762188	1	1	0.227	1	1	1	1	1	1	1	1	1	1	0
ITGA2B	blca	9	No	N/A	No	0.6678238	1	1	1	0.763	1	1	1	1	1	0.8344	1	1	1	1	0
ALMS1	blca	9	No	N/A	No	1	0.696788426378806	1	1	0.852	1	1	1	1	1	1	1	1	1	1	0
EIF4A3	blca	5	No	N/A	No	0.3160918	0.00457136517363136	1	1	0.272	1	1	1	1	1	1	1	0.219146325590375	1	1	1
PDZRN3	blca	6	No	N/A	No	1	0.300672137092345	1	1	0.751	1	1	1	1	1	1	1	1	1	1	0
SYNGAP1	blca	8	No	N/A	No	1	1	1	1	0.973	1	1	1	1	1	1	1	1	1	1	0
ZNF513	blca	8	No	N/A	No	0.1167349	0.0148549024757961	1	1	0.608	1	1	1	1	1	1	1	1	1	1	1
DMD	blca	7	No	N/A	No	0.7674728	1	1	1	0.759	1	1	1	1	1	1	1	1	1	1	0
STUB1	blca	8	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	0.222309964642165	1	1	0
EFCAB6	blca	9	No	N/A	No	1	1	1	1	0.198	0.835737938225201	1	1	1	1	1	1	1	1	1	0
SERPIND1	blca	5	No	N/A	No	1	1	1	1	0.184	1	1	1	1	1	1	1	1	1	1	0
KLC1	blca	5	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
PCDHA1	blca	60	No	N/A	No	1	1	1	1	0.525	1	1	1	1	1	1	1	1	1	1	0
FTH1	blca	5	No	N/A	No	0.3354636	1	1	1	0.0456	1	1	1	1	1	1	1	1	1	1	1
ACLY	blca	5	No	N/A	No	1	1	1	1	0.477	1	1	1	1	1	1	1	0.00944869987030946	1	1	1
GAS2L1	blca	5	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
ADAMTS2	blca	5	No	N/A	No	1	1	1	1	0.762	1	1	1	1	1	1	1	1	1	1	0
SPRED3	blca	6	No	N/A	No	1	1	1	1	0.432	1	1	1	1	1	1	0.002315	1	1	1	1
PPFIA2	blca	7	No	N/A	No	1	1	1	1	0.871	1	1	1	1	1	1	1	1	1	1	0
UFSP1	blca	8	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
ARID4A	blca	6	No	N/A	No	0.2625037	0.636605318160994	1	1	0.988	1	1	1	1	1	1	1	0.0375650666559944	1	1	1
MYH6	blca	5	No	N/A	No	1	1	1	1	0.285	1	1	1	1	1	1	1	1	1	1	0
CENPP	blca	6	No	N/A	No	1	1	1	1	0.631	1	1	1	1	1	1	1	1	1	1	0
IRF7	blca	8	No	N/A	No	1	1	1	1	0.486	1	1	1	1	1	1	1	0.131956213852474	1	1	0
AC010336.1	blca	5	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
SPIRE2	blca	5	No	N/A	No	1	1	1	1	0.407	1	1	1	1	1	1	1	0.0958339707594558	1	1	0
ELP2	blca	6	No	N/A	No	1	1	1	1	0.892	1	1	1	1	1	1	1	1	1	1	0
KIR3DL1	blca	7	No	N/A	No	1	1	1	1	0.932	1	1	1	1	1	1	1	1	1	1	0
FMN1	blca	7	No	N/A	No	1	1	1	1	0.0602	1	1	1	1	1	1	1	1	1	1	0
RBP3	blca	6	No	N/A	No	1	1	1	1	0.515	1	1	1	1	1	1	1	1	1	1	0
FREM2	blca	16	No	N/A	No	0.7738313	1	1	1	0.862	1	1	1	1	1	1	1	1	1	1	0
RTN3	blca	5	No	N/A	No	1	0.514688291620399	1	1	0.226	1	1	1	1	1	1	1	0.224062455027784	1	1	0
FMN2	blca	7	No	N/A	No	1	1	1	1	0.859	1	1	1	1	1	1	1	0.00745902916622465	1	1	1
PHKA1	blca	5	No	N/A	No	1	0.577906968332681	1	1	0.701	1	1	1	1	1	1	1	1	1	1	0
RFWD3	blca	5	No	N/A	No	0.6881829	0.204580966015203	1	1	0.816	1	1	1	1	1	1	1	1	1	1	0
HELZ2	blca	8	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
CHD6	blca	14	No	N/A	No	1	1	1	1	0.244	1	1	1	1	1	1	1	0.205880088466732	1	1	0
XPR1	blca	7	No	N/A	No	0.1980449	0.0184295528484948	1	1	0.394	1	1	1	1	1	1	1	1	1	1	1
RXRG	blca	6	No	N/A	No	0.1980449	1	1	1	0.798	1	1	1	1	1	1	1	0.199364927083772	1	1	0
TANC1	blca	8	No	N/A	No	0.7959979	1	0.700312119915	0.001699731	0.57	1	1	1	1	1	1	1	0.192638865018977	1	1	1
POP1	blca	5	No	N/A	No	1	1	1	1	0.607	1	1	1	1	1	1	1	0.181844997840546	1	1	0
OR51E1	blca	5	No	N/A	No	1	1	1	1	0.899	1	1	1	1	1	1	1	1	1	1	0
TCHH	blca	15	No	N/A	No	1	1	1	1	0.979	1	1	1	1	1	1	1	1	1	1	0
ATP2A1	blca	7	No	N/A	No	1	1	1	1	0.302	1	1	1	1	1	0.897366	1	0.038550641686757	1	1	1
DNAAF3	blca	5	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
TRPC6	blca	5	No	N/A	No	1	1	1	1	0.567	1	1	1	1	1	1	1	1	1	1	0
DHX34	blca	7	No	N/A	No	1	0.604440762727324	1	1	0.753	1	1	1	1	1	1	1	1	1	1	0
DEPDC5	blca	9	No	N/A	No	1	0.353425777259764	1	1	0.278	1	1	1	1	1	1	1	1	1	1	0
NRD1	blca	5	No	N/A	No	1	0.830038453707932	1	1	0.859	1	1	1	1	1	1	1	1	1	1	0
ZHX1-C8ORF76	blca	8	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
RLTPR	blca	14	No	N/A	No	1	1	1	1	0.916	1	1	1	1	1	1	1	1	1	1	0
RP11-458D21.5	blca	9	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
EEFSEC	blca	5	No	N/A	No	0.8463656	1	1	1	0.495	1	1	1	1	1	1	1	1	1	1	0
COL18A1	blca	5	No	N/A	No	1	1	1	1	0.506	1	1	1	1	1	1	1	1	1	1	0
PPAP2A	blca	5	No	N/A	No	0.9411744	0.0719983546507342	1	1	0.548	1	1	1	1	1	1	1	1	1	1	0
TEX15	blca	6	No	N/A	No	1	1	1	1	0.448	0.239912487905587	1	1	1	1	1	1	1	1	1	0
PCDHB3	blca	7	No	N/A	No	1	1	1	1	0.795	1	1	1	1	1	1	1	1	1	1	0
PMEL	blca	9	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
IFIT2	blca	5	No	N/A	No	0.7693742	0.346536037862456	1	1	0.167	1	1	1	1	1	1	1	1	1	1	0
LIMA1	blca	7	No	N/A	No	0.9463894	0.436049392832318	1	1	0.742	1	1	1	1	1	1	1	1	1	1	0
C3	blca	5	No	N/A	No	1	1	1	1	0.703	1	1	0.003130412	1	1	1	1	0.127892370969218	1	1	1
SHROOM3	blca	6	No	N/A	No	1	1	1	1	0.493	1	1	1	1	1	1	1	1	1	1	0
FNIP1	blca	10	No	N/A	No	1	0.954583323226323	1	1	0.264	1	1	1	1	1	1	1	1	1	1	0
RABEP2	blca	9	No	N/A	No	0.9321111	0.269538501575546	1	1	0.778	1	1	1	1	1	1	1	1	1	1	0
MCC	blca	7	No	N/A	No	1	1	1	1	0.0301	1	1	1	1	1	1	1	0.219146325590375	1	1	1
MYBPC1	blca	5	No	N/A	No	0.6097588	1	1	1	0.89	1	1	1	1	1	1	1	1	1	1	0
GRIK1	blca	7	No	N/A	No	1	1	1	1	0.0112	1	1	1	1	1	1	1	1	1	1	1
ATG4D	blca	6	No	N/A	No	1	0.518554997866802	1	1	0.704	1	1	1	1	1	1	1	1	1	1	0
SLC52A2	blca	5	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
CPT1B	blca	6	No	N/A	No	1	0.615166203569749	1	1	0.876	1	1	1	1	1	1	1	1	1	1	0
AC003006.7	blca	9	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
AP1S1	blca	5	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NCOA3	blca	5	No	N/A	No	0.7421533	1	1	1	0.421	1	1	1	1	1	1	1	1	1	1	0
SARNP	blca	5	No	N/A	No	0.02599276	0.814147392466595	1	1	0.911	1	1	1	1	1	1	1	1	1	1	1
CHD8	blca	6	No	N/A	No	1	0.737011960603973	1	1	0.0734	1	1	1	1	1	1	1	1	1	1	0
ZNF845	blca	9	No	N/A	No	1	1	0.439966186491	1	0.819	1	0.748224639539913	1	1	1	1	1	1	1	1	0
AP2A1	blca	6	No	N/A	No	1	0.488790392822731	1	1	0.262	1	1	1	1	1	1	1	1	1	1	0
RPS18	blca	11	No	N/A	No	0.9585303	0.606959077826213	1	1	0.482	1	1	1	1	1	1	1	1	1	1	0
ZNF232	blca	5	No	N/A	No	1	1	1	1	0.431	1	1	1	1	1	1	1	0.102110757068067	1	1	0
ZNF804A	blca	5	No	N/A	No	1	1	1	1	0.194	1	1	1	1	1	1	1	1	1	1	0
SCRIB	blca	7	No	N/A	No	1	1	1	1	0.00566	1	1	1	1	1	1	1	1	1	1	1
SLX4	blca	7	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	0.189853713537073	1	1	0
KIF1A	blca	5	No	N/A	No	1	1	1	1	0.0134	1	1	1	1	1	1	1	0.0960970100746928	1	1	1
MDN1	blca	10	No	N/A	No	1	0.991710814591438	1	1	0.265	1	1	1	1	1	1	1	0.0111505127146555	1	1	1
ARMC9	blca	5	No	N/A	No	1	0.664954757109206	1	1	0.0204	1	1	1	1	1	1	1	0.127892370969218	1	1	1
PPM1G	blca	10	No	N/A	No	1	0.516818876162728	1	1	0.467	1	1	1	1	1	1	1	1	1	1	0
ROCK2	blca	6	No	N/A	No	1	0.757054409500465	1	1	0.835	1	1	1	1	1	1	1	1	1	1	0
VPS13B	blca	14	No	N/A	No	1	1	1	1	0.0276	1	1	1	1	1	1	1	0.0885919882692753	1	1	1
MTR	blca	5	No	N/A	No	1	0.353903503617049	1	1	0.39	1	1	1	1	1	1	1	1	1	1	0
UGT1A10	blca	11	No	N/A	No	1	1	1	1	0.794	1	1	1	1	1	1	1	1	1	0.0006379166	1
FERMT3	blca	5	No	N/A	No	0.7143984	0.790052310840729	1	1	0.213	1	1	1	1	1	1	1	1	1	1	0
ASCC3	blca	6	No	N/A	No	1	1	1	1	0.388	1	1	1	1	1	0.463273	1	0.0215380518130259	1	1	1
ZZEF1	blca	13	No	N/A	No	1	0.757726547055543	1	1	0.558	1	1	1	1	1	1	1	1	1	1	0
GRM5	blca	6	No	N/A	No	1	1	1	1	0.505	1	1	1	1	1	1	1	1	1	1	0
ZNF831	blca	8	No	N/A	No	1	1	1	1	0.211	1	1	1	1	1	1	1	1	1	1	0
TRPM4	blca	9	No	N/A	No	1	1	1	1	0.948	1	1	1	1	1	1	1	1	1	1	0
C20orf26	blca	5	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
PPP6R3	blca	5	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
SRSF2	blca	5	No	Unk	Missense somatic drivers in other tissues	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
KIAA1467	blca	5	No	N/A	No	0.9975753	0.846063015670355	1	1	0.481	1	1	1	1	1	1	1	1	1	1	0
COL5A1	blca	8	No	N/A	No	1	1	1	1	0.737	1	1	1	1	1	0.760308	1	1	1	1	0
CHEK2	blca	7	No	TSG	Other germline drivers in other tissues	1	1	1	1	0.0168	1	1	1	1	1	1	1	0.108421029359669	1	1	1
NXF1	blca	7	No	N/A	No	1	0.88885118087082	1	1	0.866	1	1	1	1	1	1	1	1	1	1	0
RP3-402G11.5	blca	6	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
ARSG	blca	5	No	N/A	No	1	1	1	1	0.298	1	1	1	1	1	1	1	1	1	1	0
BACH2	blca	5	No	N/A	No	1	1	1	1	0.161	1	1	1	1	1	1	1	0.0958339707594558	1	1	0
C5orf42	blca	8	No	N/A	No	1	0.830038453707932	1	1	0.763	1	1	1	1	1	1	1	1	1	1	0
SPIB	blca	5	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
GPR50	blca	5	No	N/A	No	0.0231427	1	1	1	0.156	1	1	1	1	1	1	1	1	1	1	1
FBN3	blca	8	No	N/A	No	0.7794723	1	1	1	0.26	1	1	1	1	1	1	1	1	1	1	0
CDC42SE1	blca	5	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NDUFAF3	blca	6	No	N/A	No	1	1	1	1	0.839	1	1	1	1	1	1	1	1	1	1	0
ZFYVE26	blca	6	No	N/A	No	1	1	1	1	0.779	1	1	1	1	1	1	1	1	1	1	0
DAP3	blca	5	No	N/A	No	1	0.951502154501634	1	1	0.48	1	1	1	1	1	1	1	0.0678447135809999	1	1	0
