Gene	NPat	Coverage	KnownDriver	Mode	AllDriver	MutSigCV	OncodriveFM	OncodriveCLUST	NMC	MutSig-CL	e-Driver	e-Driver3D	iPAC	GraphPAC	SpacePAC	CLUMPS	iSIMPRe	ActiveDriver	Hotspot	LowMACA	Detected
LURAP1	1	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
PRDM7	3	0.367886178861789	No	N/A	No	1	1	1	1	0.973	1	1	1	1	1	1	1	1	1	1	0
IREB2	4	0.990654205607477	No	N/A	No	8.697868e-01	1.0	1	1	0.817	1	1	1	1	1	1	1	1	1	1	0
AHNAK2	18	0.0165660051768766	No	N/A	No	1	0.47765203695958625	1	1	0.999	1	1	1	1	1	1	1	0.00181815140363497	1	1	1
OR8A1	1	0	No	N/A	No	1	1	1	1	0.512	1	1	1	1	1	1	1	1	1	1	0
LAIR2	1	0.796052631578947	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
DSEL	2	0	No	N/A	No	1	0.4534254958635731	1	1	0.432	1	1	1	1	1	1	1	1	1	1	0
SIGLEC6	1	0.470198675496689	No	N/A	No	1	1	1	1	0.958	1	1	1	1	1	1	1	1	1	1	0
LRRIQ1	9	0.151567944250871	No	N/A	No	1	1	1	1	0.257	1	1	1	1	1	1	1	1	1	1	0
KLHL17	3	0.88006230529595	No	N/A	No	1	0.5572913051140983	1	1	0.470	1	1	1	1	1	1	1	1	1	1	0
ZCCHC5	2	0	No	N/A	No	1	1	1	1	0.411	1	1	1	1	1	1	1	1	1	1	0
ZNF420	2	0.832848837209302	No	N/A	No	1	0.8466356473589087	1	1	0.779	1	1	1	1	1	1	1	1	1	1	0
DYRK1A	1	0.512450851900393	No	N/A	No	1	1	1	1	0.315	1	1	1	1	1	1	1	1	1	1	0
NFE2L3	4	0.105187319884726	No	N/A	No	5.890870e-04	0.279767498159418	1	1	0.0530	1	1	1	1	1	1	1	1	1	1	1
CCDC78	4	0	No	N/A	No	1	1	1	1	0.784	1	1	1	1	1	1	1	1	1	1	0
PIAS3	3	0.670382165605096	No	N/A	No	1	1	1	1	0.855	1	1	1	1	1	1	1	1	1	1	0
LMBRD1	1	0	No	N/A	No	1	1.0	1	1	1	1	1	1	1	1	1	1	1	1	1	0
RHCG	1	0.997912317327766	No	N/A	No	1	1	1	1	0.764	1	1	1	1	1	1	1	1	1	1	0
FRY	11	0	No	N/A	No	7.145936e-01	0.24245673325935943	1	1	0.181	1	1	1	1	1	1	1	0.105305317463776	1	1	0
C1GALT1	1	0	No	N/A	No	1	1.0	1	1	0.249	1	1	1	1	1	1	1	1	1	1	0
ZNF311	1	0.602102102102102	No	N/A	No	1	1	1	1	0.697	1	1	1	1	1	1	1	1	1	1	0
PCDHGC4	5	0.699360341151386	No	N/A	No	1	1	1	1	0.228	1	1	1	1	1	1	1	1	1	1	0
NDRG2	1	0	No	N/A	No	1	1	1	1	0.931	1	1	1	1	1	1	1	1	1	1	0
ASNSD1	2	0	No	N/A	No	8.466929e-01	1.0	1	1	0.663	1	1	1	1	1	1	1	1	1	1	0
GPC2	1	0.808290155440414	No	N/A	No	9.806937e-01	1	1	1	0.310	1	1	1	1	1	1	1	1	1	1	0
HIF3A	1	0.526158445440957	No	N/A	No	1	1	1	1	0.0505	1	1	1	1	1	1	1	1	1	1	0
SQSTM1	3	0.393181818181818	No	N/A	No	1	1.0	1	1	0.721	1	1	1	1	1	1	1	1	1	1	0
LRG1	3	0.910662824207493	No	N/A	No	9.381152e-01	1.0	1	1	0.910	1	1	1	1	1	1	1	1	1	1	0
ZNF451	3	0.0518378887841659	No	N/A	No	4.615780e-01	1.0	1	1	0.520	1	1	1	1	1	1	1	0.107997175832677	1	1	0
SPI1	2	0.328413284132841	No	N/A	No	1	1	1	1	0.761	1	1	1	1	1	1	1	1	1	1	0
CROT	6	1	No	N/A	No	2.526868e-01	1.0	1	1	0.305	1	1	1	1	1	1	1	1	1	1	0
NFKBIB	4	0.912921348314607	No	N/A	No	1	0.2898097978876593	1	1	0.693	1	1	1	1	1	1	1	1	1	1	0
FAM177B	1	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
PIK3R2	1	0	No	N/A	No	1	1.0	1	1	0.125	1	1	1	1	1	1	1	1	1	1	0
ZKSCAN3	3	0	No	N/A	No	1	1	1	1	0.215	1	1	1	1	1	1	1	1	1	1	0
SNX13	4	0	No	N/A	No	1	1.0	1	1	0.768	1	1	1	1	1	1	1	1	1	1	0
NUP160	3	1	No	N/A	No	1	1.0	1	1	0.162	1	1	1	1	1	1	1	1	1	1	0
MAP1B	6	0	No	N/A	No	1	1.0	1	1	0.379	1	1	1	1	1	1	1	0.150943567491085	1	1	0
MIR3654	4	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
UBE2M	5	1	No	N/A	No	9.321111e-01	1	1	1	0.757	1	1	1	1	1	1	1	1	1	1	0
PLEKHO2	3	0	No	N/A	No	1	1.0	1	1	0.917	1	1	1	1	1	1	1	1	1	1	0
SERPINE1	2	1	No	N/A	No	1	0.9875121973200982	1	1	0.798	1	1	1	1	1	1	1	1	1	1	0
ZNF35	6	0.648956356736243	No	N/A	No	8.068307e-01	0.4225125491333044	1	1	0.765	1	1	1	1	1	1	1	1	1	1	0
GINM1	2	0	No	N/A	No	1	0.7156882263932562	1	1	1	1	1	1	1	1	1	1	1	1	1	0
HSCB	2	0.876595744680851	No	N/A	No	1	0.7375775281755002	1	1	0.979	1	1	1	1	1	1	1	1	1	1	0
ITIH6	5	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
ZNF415	1	0	No	N/A	No	1	1	1	1	0.0466	1	1	1	1	1	1	1	1	1	1	1
EP300	28	0.413835956917978	No	Unk	Missense somatic drivers in other tissues	1.127112e-11	1.4645713213618756e-11	0.933854440585	1	0.116	1	1	1	1	1	0.463273	1	0.00362059711121256	1	1	3
GHITM	1	0	No	N/A	No	1	1	1	1	0.403	1	1	1	1	1	1	1	1	1	1	0
KIF18A	3	0.413140311804009	No	N/A	No	1	1.0	1	1	0.493	1	1	1	1	1	1	1	1	1	1	0
SGK196	2	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
MYCBP2	10	0	No	N/A	No	1	0.7071663633759308	1	1	0.945	1	1	1	1	1	1	1	0.0848728119183305	1	1	0
PUF60	5	0.610017889087657	No	N/A	No	1	1.0	1	1	0.990	1	1	1	1	1	1	1	1	1	1	0
ANKRD35	5	0.255744255744256	No	N/A	No	1	1	1	1	0.945	1	1	1	1	1	1	1	1	1	1	0
OSBP2	2	0.544759825327511	No	N/A	No	1	0.9308530938835914	1	1	0.613	1	1	1	1	1	1	1	1	1	1	0
VIPAS39	1	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
SCNN1A	5	0.410714285714286	No	N/A	No	1	0.09188835536852129	1	1	0.0676	1	1	1	1	1	1	1	1	1	1	0
C7orf43	4	0	No	N/A	No	1	1.0	1	1	0.0775	1	1	1	1	1	1	1	1	1	1	0
ATRIP	2	0	No	N/A	No	1	1	1	1	0.834	1	1	1	1	1	1	1	1	1	1	0
SLITRK5	3	0.538622129436326	No	N/A	No	1	1	1	1	0.154	1	1	1	1	1	1	1	1	1	1	0
EFS	2	0.481283422459893	No	N/A	No	1	1.0	1	1	0.742	1	1	1	1	1	1	1	1	1	1	0
ZNF793	1	0.652709359605911	No	N/A	No	1	1	1	1	0.526	1	1	1	1	1	1	1	1	1	1	0
FAM76A	1	0	No	N/A	No	6.793938e-01	1	1	1	0.110	1	1	1	1	1	1	1	1	1	1	0
PCDHB13	4	0.795739348370927	No	N/A	No	1	1	1	1	0.980	1	1	1	1	1	1	1	1	1	1	0
CBLN3	1	0.829268292682927	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
ATP8A2	2	0	No	N/A	No	5.554418e-01	1	1	1	0.536	1	1	1	1	1	1	1	1	1	1	0
NR1H2	4	0	No	N/A	No	9.726107e-01	0.2817733784948476	1	1	0.867	1	1	1	1	1	1	1	1	1	1	0
AC090186.1	2	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
TLR7	6	0.986653956148713	No	N/A	No	1	1	1	1	0.764	1	1	1	1	1	1	1	1	1	1	0
KIR2DL1	1	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
MON2	2	0	No	N/A	No	8.268825e-01	1.0	1	1	0.309	1	1	1	1	1	1	1	1	1	1	0
STRN	2	0.51025641025641	No	Unk	Other somatic drivers in other tissues	1	0.5146882916203993	1	1	0.679	1	1	1	1	1	1	1	1	1	1	0
SOAT2	1	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
CHEK2	7	0.872013651877133	No	TSG	Other germline drivers in other tissues	1	1.0	1	1	0.0168	1	1	1	1	1	1	1	0.108421029359669	1	1	1
ENPP7	1	0.91703056768559	No	N/A	No	1	1	1	1	0.744	1	1	1	1	1	1	1	1	1	1	0
CDC42BPG	1	0.263056092843327	No	N/A	No	1	1	1	1	0.718	1	1	1	1	1	1	1	1	1	1	0
TRAF3IP3	3	0	No	N/A	No	1	1	1	1	0.0547	1	1	1	1	1	1	1	1	1	1	0
ABCA9	7	0.430418719211823	No	N/A	No	9.463894e-01	1	1	1	0.754	1	1	1	1	1	1	1	1	1	1	0
TBC1D8B	3	0.229464285714286	No	N/A	No	9.239345e-01	0.2601623326682338	1	1	0.636	1	1	1	1	1	1	1	0.132745431495437	1	1	0
TMCO6	2	0	No	N/A	No	8.268825e-01	0.06866073122291463	1	1	0.749	1	1	1	1	1	1	1	1	1	1	0
CCDC88C	4	0.0784023668639053	No	N/A	No	1	1.0	1	1	0.373	1	1	1	1	1	1	1	1	1	1	0
LRP1	12	0.961927816901408	No	N/A	No	1	1.0	1	1	0.690	1	1	1	1	1	1	1	0.134584245432548	1	1	0
SLC37A2	1	0.916831683168317	No	N/A	No	1	1.0	1	1	0.290	1	1	1	1	1	1	1	1	1	1	0
SMAD1	2	0.836559139784946	No	N/A	No	9.423053e-01	1.0	1	1	0.107	1	1	1	1	1	1	1	0.149380502858838	1	1	0
SNAPIN	1	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
BORA	6	0	No	N/A	No	1	0.6656390807957888	1	1	1	1	1	1	1	1	1	1	1	1	1	0
HACE1	2	0.71947194719472	No	N/A	No	1	0.6053373431249862	1	1	0.860	1	1	1	1	1	1	1	1	1	1	0
THOC5	4	0	No	N/A	No	1	0.8194726924938989	1	1	0.798	1	1	1	1	1	1	1	1	1	1	0
WDR72	3	0	No	N/A	No	1	1.0	1	1	0.404	1	1	1	1	1	1	1	1	1	1	0
STXBP6	1	0	No	N/A	No	1	1	1	1	0.0896	1	1	1	1	1	1	1	1	1	1	0
BEND4	1	0	No	N/A	No	1	1	1	1	0.175	1	1	1	1	1	1	1	1	1	1	0
FAM118A	1	0	No	N/A	No	1	1.0	1	1	1	1	1	1	1	1	1	1	1	1	1	0
TADA2A	2	0	No	N/A	No	6.751699e-01	1.0	1	1	0.708	1	1	1	1	1	1	1	1	1	1	0
IL1RAP	2	0	No	N/A	No	1	1.0	1	1	0.203	1	1	1	1	1	1	1	1	1	1	0
PLXNA3	1	0.975414216996259	No	N/A	No	1	1.0	1	1	0.558	1	1	1	1	1	1	1	1	1	1	0
CC2D1A	4	0	No	N/A	No	1	1.0	1	1	0.405	1	1	1	1	1	1	1	1	1	1	0
RP11-468E2.6	2	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
IMP4	4	0.989690721649485	No	N/A	No	9.726107e-01	0.5936438615092043	1	1	0.0340	1	1	1	1	1	1	1	1	1	1	1
ARHGAP32	9	0.107810253953043	No	N/A	No	1	0.6843958061581461	1	1	0.610	1	1	1	1	1	1	1	1	1	1	0
TSC1	11	0	Yes	TSG	Missense somatic drivers in matching tissue	1.350845e-11	8.819518032554541e-10	1	1	0.184	1	1	1	1	1	1	1	1	1	1	2
AL136376.1	1	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
VCP	2	1	No	N/A	No	1	1.0	1	1	0.336	1	1	1	1	1	1	1	0.0729335558025628	1	1	0
ZNF263	5	0.600292825768668	No	N/A	No	9.760040e-01	0.7735594304915884	1	1	0.529	1	1	1	1	1	1	1	1	1	1	0
UBQLNL	1	0.174736842105263	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	0.0832897272922979	1	1	0
MRPS30	2	1	No	N/A	No	1	0.6642310708392105	1	1	0.136	1	1	1	1	1	1	1	1	1	1	0
CCDC176	2	0	No	N/A	No	1	1.0	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NEK5	4	0.440677966101695	No	N/A	No	1	1	1	1	0.727	1	1	1	1	1	1	1	1	1	1	0
SND1	6	0.983516483516483	No	Unk	Other somatic drivers in other tissues	1	1.0	1	1	0.184	1	1	1	1	1	1	1	1	1	1	0
ARFRP1	5	0	No	N/A	No	1	1.0	1	1	0.508	1	1	1	1	1	1	1	1	1	1	0
C1orf127	4	0	No	N/A	No	8.636015e-01	1	1	1	0.971	1	1	1	1	1	1	1	1	1	1	0
NMRAL1	2	0	No	N/A	No	9.321111e-01	1.0	1	1	0.818	1	1	1	1	1	1	1	0.0974312197076495	1	1	0
OR6A2	1	0	No	N/A	No	1	1	1	1	0.443	1	1	1	1	1	1	1	1	1	1	0
C1QTNF9B	1	0	No	N/A	No	1	1	1	1	0.809	1	1	1	1	1	1	1	1	1	1	0
DLGAP5	5	0.17612293144208	No	N/A	No	1	1.0	1	1	0.941	1	1	1	1	1	1	1	0.0945009129451808	1	1	0
FBXL15	1	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
DNAH7	9	0.801192842942346	No	N/A	No	6.940449e-01	1	1	1	0.341	1	1	1	1	1	0.481297	1	1	1	1	0
LIFR	3	0	No	Unk	Other somatic drivers in other tissues	1	0.06604814168900722	1	1	0.563	1	1	1	1	1	1	1	0.0505762702023865	1	1	0
NOL9	3	0	No	N/A	No	1	1.0	1	1	0.714	1	1	1	1	1	1	1	0.138799868662465	1	1	0
TAGAP	1	0.292749658002736	No	N/A	No	1	1	1	1	0.846	1	1	1	1	1	1	1	1	1	1	0
TCF12	2	0	No	Unk	Other somatic drivers in other tissues	1	1.0	1	1	0.0156	1	1	1	1	1	1	1	1	1	1	1
CYP4F11	2	0	No	N/A	No	1	1.0	1	1	0.644	1	1	1	1	1	1	1	1	1	1	0
HERC4	1	0.728476821192053	No	N/A	No	8.678853e-01	1	1	1	0.971	1	1	1	1	1	1	1	1	1	1	0
NPBWR2	1	0.990990990990991	No	N/A	No	1	1	1	1	0.989	1	1	1	1	1	1	1	1	1	1	0
SIL1	1	0	No	N/A	No	1	1	1	1	0.134	1	1	1	1	1	1	1	1	1	1	0
TRPS1	8	0.0610510046367852	No	N/A	No	4.156570e-01	0.8699582063985319	1	1	0.461	1	1	1	1	1	1	1	0.141676127809682	1	1	0
USE1	2	0	No	N/A	No	7.145936e-01	1	1	1	0.438	1	1	1	1	1	1	1	1	1	1	0
EEA1	6	0.11268603827073	No	N/A	No	1	0.39426214294943357	1	1	0.665	1	1	1	1	1	1	1	0.136649927674317	1	1	0
ABCD3	7	0	No	N/A	No	9.369170e-01	0.01599804333389767	1	1	0.958	1	1	1	1	1	1	1	1	1	1	1
C1orf173	6	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
ZNF71	1	0.807770961145194	No	N/A	No	1	1.0	1	1	1	1	1	1	1	1	1	1	1	1	1	0
IQCB1	7	0	No	N/A	No	2.847614e-02	0.3231439686594669	1	1	0.734	1	1	1	1	1	1	1	0.107997175832677	1	1	1
OR2AE1	1	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
ERP29	2	0.877394636015326	No	N/A	No	8.586076e-01	0.7391108070861078	1	1	0.821	1	1	1	1	1	1	1	1	1	1	0
UEVLD	1	0.929936305732484	No	N/A	No	1	1.0	1	1	0.0779	1	1	1	1	1	1	1	1	1	1	0
XKR7	2	0	No	N/A	No	8.697868e-01	1	1	1	0.527	1	1	1	1	1	1	1	1	1	1	0
EIF3D	1	0	No	N/A	No	1	1	1	1	0.211	1	1	1	1	1	1	1	1	1	1	0
RBCK1	2	0.317647058823529	No	N/A	No	1	1.0	1	1	0.676	1	1	1	1	1	1	1	1	1	1	0
NKX6-3	1	0	No	N/A	No	7.693742e-01	1	1	1	0.317	1	1	1	1	1	1	1	1	1	1	0
PRPF4	4	1	No	N/A	No	1	0.8403896302916052	1	1	0.187	1	1	1	1	1	1	1	1	1	1	0
XXYLT1	1	0.778625954198473	No	N/A	No	1	1.0	1	1	1	1	1	1	1	1	1	1	1	1	1	0
ZNF234	1	0.818571428571429	No	N/A	No	1	1	1	1	0.746	1	1	1	1	1	1	1	1	1	1	0
RP11-694I15.6	4	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
AURKA	1	0	No	N/A	No	1	1	1	1	0.931	1	1	1	1	1	1	1	1	1	1	0
MRPL16	1	1	No	N/A	No	1	1	1	1	0.538	1	1	1	1	1	1	1	1	1	1	0
OR5D13	2	0	No	N/A	No	1	1	1	1	0.755	1	1	1	1	1	1	1	1	1	1	0
BAHD1	2	0	No	N/A	No	1	1	1	1	0.487	1	1	1	1	1	1	1	1	1	1	0
SLC12A2	2	0	No	N/A	No	1	1.0	1	1	0.512	1	1	1	1	1	1	1	1	1	1	0
ADCY4	4	0.457753017641597	No	N/A	No	1	1	1	1	0.232	1	1	1	1	1	1	1	1	1	1	0
TMED6	6	0	No	N/A	No	6.262843e-01	1	1	1	0.536	1	1	1	1	1	1	1	1	1	1	0
ANXA4	1	1	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
PTGES3L-AARSD1	1	0.573378839590444	No	N/A	No	1	0.3231439686594669	1	1	1	1	1	1	1	1	1	1	1	1	1	0
HIGD2A	3	0.69811320754717	No	N/A	No	1	1	1	1	0.704	1	1	1	1	1	1	1	1	1	1	0
MAN2B2	1	0.784935579781962	No	N/A	No	1	1	1	1	0.551	1	1	1	1	1	1	1	1	1	1	0
PCED1A	1	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
MIF4GD	4	0	No	N/A	No	1	0.513639076206359	1	1	0.103	1	1	1	1	1	1	1	1	1	1	0
AL035588.1	1	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
CYP1A2	2	0.949612403100775	No	N/A	No	1	1	1	1	0.781	1	1	1	1	1	1	1	1	1	1	0
HELQ	1	0.734786557674841	No	N/A	No	1	1.0	1	1	0.744	1	1	1	1	1	1	1	1	1	1	0
DIAPH3	4	0.769488683989941	No	N/A	No	1	1.0	1	1	0.821	1	1	1	1	1	1	1	1	1	1	0
BRPF1	5	0.398360655737705	No	N/A	No	1	0.9877805194116931	1	1	0.0682	1	1	1	1	1	1	1	0.0906250135273652	1	1	0
F11	3	1	No	N/A	No	6.940449e-01	1	1	1	0.0626	1	1	1	1	1	1	1	1	1	1	0
C9orf43	2	0	No	N/A	No	1	1	1	1	0.234	1	1	1	1	1	1	1	1	1	1	0
KRT9	1	0.200642054574639	No	N/A	No	1	1	1	1	0.757	1	1	1	1	1	1	1	1	1	1	0
NOP2	6	0.410650887573965	No	N/A	No	1	0.8727717666351839	1	1	0.586	1	1	1	1	1	1	1	0.0241690794091348	1	1	1
TYMP	3	1	No	N/A	No	1	1	1	1	0.964	1	1	1	1	1	1	1	1	1	1	0
CALM1	1	0	No	N/A	No	9.239345e-01	1	1	1	0.184	1	1	1	1	1	1	1	1	1	1	0
HIST2H2BE	6	1	No	N/A	No	1	0.2883143934408364	1	1	0.989	1	1	1	1	1	1	1	1	1	1	0
MLST8	2	0	No	N/A	No	1	0.20813077267652355	1	1	0.257	1	1	1	1	1	1	1	1	1	1	0
HMGXB4	2	0	No	N/A	No	1	0.5695966008404301	1	1	0.405	1	1	1	1	1	1	1	0.0795148700716334	1	1	0
PTGS2	2	1	No	N/A	No	1	1.0	1	1	0.828	1	1	1	1	1	1	1	1	1	1	0
SLC25A18	2	0.914285714285714	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
RASGEF1B	1	0.885835095137421	No	N/A	No	1	1.0	1	1	0.843	1	1	1	1	1	1	1	1	1	1	0
OR3A2	1	0	No	N/A	No	1	1	1	1	0.00502	1	1	1	1	1	1	1	1	1	1	1
FCGRT	2	0.895890410958904	No	N/A	No	1	1.0	1	1	0.202	1	1	1	1	1	1	1	1	1	1	0
AC002553.1	2	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
SNRPB	3	1	No	N/A	No	1.823246e-03	0.22969364502114625	1	1	0.182	1	1	1	1	1	1	1	0.083026272925831	1	1	1
TULP3	2	0.520958083832335	No	N/A	No	2.383424e-01	0.1893084499884639	1	1	0.683	1	1	1	1	1	1	1	1	1	1	0
AOX1	2	1	No	N/A	No	1	1	1	1	0.941	1	1	1	1	1	1	1	1	1	1	0
NPHS2	1	0.469973890339426	No	N/A	No	1	1	1	1	0.238	1	1	1	1	1	1	1	1	1	1	0
GOLPH3	1	0.828859060402685	No	N/A	No	1	1	1	1	0.491	1	1	1	1	1	1	1	1	1	1	0
ROBO2	6	0	No	N/A	No	1	1	1	1	0.853	1	1	1	1	1	1	1	1	1	1	0
KLRK1	2	0.638888888888889	No	N/A	No	1	1	1	1	0.300	1	1	1	1	1	1	1	1	1	1	0
SNAP25	2	1	No	N/A	No	1	1	1	1	0.561	1	1	1	1	1	1	1	0.158521587340555	1	1	0
DHRS1	4	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
ODAM	2	0	No	N/A	No	9.944835e-01	1	1	1	0.607	1	1	1	1	1	1	1	1	1	1	0
IFNAR2	7	0.996996996996997	No	N/A	No	1	1	1	1	0.631	1	1	1	1	1	1	1	1	1	1	0
ITGAD	3	0.931093884582257	No	N/A	No	1	1	1	1	0.481	1	1	1	1	1	1	1	1	1	1	0
ASB5	1	0.866261398176292	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
QARS	3	1	No	N/A	No	1	1.0	1	1	0.180	1	1	1	1	1	1	1	0.128713815961989	1	1	0
ATP6V0D1	3	0	No	N/A	No	1	1.0	1	1	1	1	1	1	1	1	1	1	1	1	1	0
MAFK	1	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
ULK4	6	0.253333333333333	No	N/A	No	1	1	1	1	0.334	1	1	1	1	1	1	1	1	1	1	0
EVX2	1	0.159663865546218	No	N/A	No	1	1	1	1	0.644	1	1	1	1	1	1	1	1	1	1	0
INTS12	2	0.166666666666667	No	N/A	No	1	1.0	1	1	0.368	1	1	1	1	1	1	1	1	1	1	0
ZNF267	3	0.714670255720054	No	N/A	No	1	1.0	1	1	0.238	1	1	1	1	1	1	1	1	1	1	0
SGSM2	3	0.158896289248335	No	N/A	No	1	1.0	1	1	0.216	1	1	1	1	1	1	1	1	1	1	0
RASGRF2	2	0.417946645109135	No	N/A	No	1	1	1	1	0.543	1	1	1	1	1	1	1	1	1	1	0
SMARCC1	5	0.142986425339367	No	N/A	No	1	0.40909552035238556	1	1	0.0648	1	1	1	1	1	1	1	0.194490089361438	1	1	0
PLEKHM2	3	0.111874386653582	No	N/A	No	1	1.0	1	1	0.953	1	1	1	1	1	1	1	1	1	1	0
CCDC146	2	0	No	N/A	No	1	1	1	1	0.561	1	1	1	1	1	1	1	1	1	1	0
WIPF1	1	0	No	N/A	No	1	1	1	1	0.927	1	1	1	1	1	1	1	1	1	1	0
SPATC1	1	0	No	N/A	No	1	1	1	1	0.563	1	1	1	1	1	1	1	1	1	1	0
MTSS1L	4	0.326639892904953	No	N/A	No	1	1.0	1	1	0.815	1	1	1	1	1	1	1	1	1	1	0
PLAC1L	1	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
UBLCP1	1	0.99685534591195	No	N/A	No	7.900656e-01	1	1	1	0.774	1	1	1	1	1	1	1	1	1	1	0
ADCY5	1	0.383822363203807	No	N/A	No	6.768476e-01	1	1	1	0.458	1	1	1	1	1	1	1	1	1	1	0
LPAR5	1	0.940860215053763	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
SLC25A21	1	0.919732441471572	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
RAB3GAP1	6	0	No	N/A	No	7.559751e-01	1.0	1	1	0.195	1	1	1	1	1	1	1	0.142240967231798	1	1	0
PGAM1	1	1	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
EIF4E	1	1	No	N/A	No	1	1	1	1	0.930	1	1	1	1	1	1	1	1	1	1	0
ZBTB40	6	0.401937046004843	No	N/A	No	1	1.0	1	1	0.620	1	1	1	1	1	1	1	0.156258175082342	1	1	0
PPIL4	3	0.380081300813008	No	N/A	No	8.917926e-01	1.0	1	1	0.291	1	1	1	1	1	1	1	1	1	1	0
PET117	1	0	No	N/A	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
ELMO3	2	0.26261319534282	No	N/A	No	1	1.0	1	1	0.227	1	1	1	1	1	1	1	1	1	1	0
TMC5	1	0	No	N/A	No	1	1	1	1	0.325	1	1	1	1	1	1	1	1	1	1	0
