Gene	Tissue	NPat	KnownDriver	Mode	AllDriver	MutSigCV	OncodriveFM	OncodriveCLUST	NMC	MutSig-CL	e-Driver	e-Driver3D	iPAC	GraphPAC	SpacePAC	CLUMPS	iSIMPRe	ActiveDriver	Hotspot	LowMACA	Detected
POTEM	luad	16	No	N/A	No	1	1	1	9.283389e-11	0.721	0.00184994713085201	1	1	1	1	1	5.787e-05	0.196500758843175	1	1	3
EEF1B2	luad	13	No	N/A	No	0.1293563	1	0.00182916885838	1	0.13	1	1	1	1	1	1	0.006192	1	9.70333626429227e-06	1	3
ARAF	luad	9	No	N/A	No	1	1	0.0107520760273	1	0.0624	1	1	1	1	1	1	1	0.0258640765920554	1.07175774761796e-06	1	3
ZNF814	luad	15	No	N/A	No	1	1	4.81786464608e-08	4.341955e-28	0.635	0.30960937129886	1	1	1	1	1	1.695e-05	1	1	1	3
ANAPC1	luad	15	No	N/A	No	0.9247493	0.56135822268804	0.0301408657406	1	0.358	1	1	1	1	1	0.931822	1	0.00705944598833662	2.35972095807311e-08	1	3
MRC1L1	luad	10	No	N/A	No	1	1	1	3.433753e-07	1	0.0344695360646044	1	1	1	1	1	0.001548	1	1	1	3
FEM1A	luad	8	No	N/A	No	1	1	2.35779882932e-07	6.953609e-14	0.215	1	1	1	1	1	1	0.003497	1.65661641175994e-07	1	1	4
NBPF3	luad	7	No	N/A	No	0.1938021	1	0.0107520760273	1	0.376	1	1	1	1	1	1	1	0.00461203110784206	1.18397427112289e-08	1	3
ANKRD36C	luad	13	No	N/A	No	1	1	1	1.333472e-15	1	7.83623116723947e-07	1	1	1	1	1	0.0002057	1	1	1	3
BMP3	luad	10	No	N/A	No	1	1	1	1	0.39	1	1	0.002007161	0.002044376	0.043	1	1	1	1	1	3
UNC80	luad	16	No	N/A	No	1	1	1	8.388294e-13	1	2.64933432255016e-07	1	1	1	1	1	0.002899	1	1	1	3
CSNK2A1	luad	8	No	N/A	No	0.05757906	1	0.0107520760273	1	0.894	1	0.126603324801514	1	1	1	0.953733	1	0.00954899290685054	2.07679843213006e-07	1	3
FPR1	luad	9	No	N/A	No	0.6845197	1	0.0107520760273	1	0.0232	1	1	1	1	1	0.904178	1	1	1	0.002031438	3
HBG2	luad	144	No	N/A	No	1	1	1	1.950757e-05	0.0256	1	1	1	1	1	0.534728	0.001131	1	1	1	3
HIST1H2AA	luad	5	No	N/A	No	1	1	1	1	0.474	1	1	0.0009828151	0.001419688	0.04	1	1	0.196300594085351	1	1	3
NKTR	luad	12	No	N/A	No	0.9988221	1	1	1	0.948	1	1	0.01371938	0.01371938	0.009	1	1	0.0499633442099306	1	1	4
STIM1	luad	10	No	N/A	No	0.1247278	0.260070077792878	0.0301408657406	1	0.00264	1	1	1	1	1	1	1	1	6.48223923998984e-07	1	3
PANK4	luad	11	No	N/A	No	1	1	0.0107520760273	1	0.0193	1	1	1	1	1	1	1	1	1	0.03543054	3
PARG	luad	16	No	N/A	No	1	0.745033546867258	8.83388373834e-10	4.127594e-34	1	1	1	1	1	1	0.92874	2.545e-07	1	1	9.941767e-07	4
CRY1	luad	8	No	N/A	No	0.9001646	0.667408339369985	0.0634165244918	1	0.297	1	0.852664688384481	0.0001706551	0.001155999	0.021	1	1	1	1	1	3
NBPF10	luad	44	No	N/A	No	1	1	0.000391159358305	1.03674e-35	0.3	1.11280313949126e-16	1	1	1	1	1	1.956e-07	1	8.79986729172664e-13	1	5
KCNA2	luad	11	No	N/A	No	0.1967869	1	1	1	0.806	1	1	0.007736915	0.007736915	0.02	0.873672	1	0.142482159320542	1	1	3
RORA	luad	8	No	N/A	No	1	0.775401529540893	0.0634165244918	1	0.535	1	1	0.006040258	0.006040258	0.008	1	1	1	1	1	3
HLA-DQB2	luad	10	No	N/A	No	1	1	0.0043349066816	1.876959e-08	1	1	1	1	1	1	1	0.004525	1	1	1	3
STAM2	luad	6	No	N/A	No	1	1	0.0301408657406	1	0.402	1	1	0.03030303	0.03030303	0.021	1	1	1	1	1	4
TULP2	luad	5	No	N/A	No	1	1	1	1	0.963	1	1	0.007462687	0.007462687	0.005	1	1	1	1	1	3
KRTAP1-5	luad	18	No	N/A	No	0.4229371	1	1	7.57108e-18	0.159	1	1	1	1	1	1	0.0001241	1	1	0.0005193736	3
ADH1A	luad	8	No	N/A	No	1	1	1	0.0003799163	0.196	1	1	0.0001136569	9.957325e-05	0.004	1	1	1	1	1	4
KRTAP4-9	luad	14	No	N/A	No	1	1	1	7.922954e-10	0.217	1	1	1	1	1	1	0.007971	1	1	0.01912654	3
PRDM9	luad	82	No	N/A	No	0.948534	1	1	1	0.0388	1	1	0.002327101	1	0.012	0.727521	1	1	1	1	3
DCP1B	luad	10	No	N/A	No	1	1	5.91692623981e-10	1.320287e-19	0.185	0.000827351266623624	1	1	1	1	1	0.0002057	1	1	0.000184788	5
KIAA1033	luad	6	No	N/A	No	1	0.983862409058047	0.0301408657406	0.001527512	0.562	1	1	1	1	1	1	1	0.0332939896899316	1	1	3
